ID,Alan,Ekran/State,Kanıt Durumu,Not
J03,Communicate,Team / medical control,Doğrulandı,EMS arayüzünde Medical Control.
K01,Hand-off,Handoff ana ekranı,Yakalanacak,Vaka bitirme akışı.
K02,Hand-off,Disposition selection,Belgeli,Discharge/admit/ICU/OR/transfer vb.
K03,Hand-off,Final diagnosis,Belgeli,Skorun %35 bileşeni.
K04,Hand-off,Confirm / Finish case,Yakalanacak,Bitiriş confirm state’i.
L01,Sonuç,Overall Score,Doğrulandı,Diagnosis + disposition + actions final skor.
L02,Sonuç,Section Scores,Doğrulandı,Exam/Stabilization/Investigations/Interventions/Communications.
L03,Sonuç,Critical actions detail,Doğrulandı,Yapılan eylem + alternatif + açıklama.
L04,Sonuç,Recommended actions,Belgeli,Pozitif/bonus mantığı.
L05,Sonuç,Unnecessary actions,Belgeli,Negatif puan.
L06,Sonuç,Harmful actions,Belgeli,Negatif puan ve safety sinyali.
L07,Sonuç,Full Debrief / Discussion,Belgeli,Case discussion ve eğitim açıklaması.
L08,Sonuç,Rate Case,Doğrulandı,Debrief ekranında puanlama.
L09,Sonuç,Feedback,Belgeli,Klinik hata/geri bildirim gönderme.
L10,Sonuç,Replay / Next Case,Yakalanacak,Retention loop.
M01,Challenges,Challenge list,Belgeli,Chief complaint/clinical topic vaka setleri.
M02,Challenges,Challenge detail / progress,Yakalanacak,Learn-Practice-Improve ilerlemesi.
M03,Daily Patient,Daily case screen,Belgeli,Attending yardımı olmadan first-attempt odağı.
M04,Daily Patient,Share score,Belgeli,İlk deneme skorunu paylaşma.
N01,Educator Dashboard,Organization overview,Doğrulandı,"Kümülatif kullanım, skor trendi, top learners."
N02,Educator Dashboard,Commonly missed actions,Doğrulandı,Toplu bilgi açığı analizi.
N03,Educator Dashboard,Failed cases,Belgeli,Zorlanılan vakalar.
N04,Educator Dashboard,Learner list,Belgeli,Kullanıcı/grup filtreleri.
N05,Educator Dashboard,Learner detail,Belgeli,Skor zaman serisi ve tamamlanan vakalar.
N06,Educator Dashboard,Completed case detail,Belgeli,"Özet, performans, etkileşim timeline’ı."
N07,Educator Dashboard,Second-by-second case log,Belgeli,"Eylem, sonuç ve scoring sınıfı."
N08,Educator Dashboard,CSV / Excel export,Belgeli,Toplu ve granular export.
N09,Educator Dashboard,Groups,Belgeli,Sınıf/yıl/klinik role göre gruplama.
N10,Educator Dashboard,Assignments,Belgeli,"Vaka atama, due date, minimum score."
O01,Case Creator,Creator main,Belgeli,Web tabanlı case authoring.
O02,Case Creator,Patient / environment selection,Belgeli,40+ model ve 5 environment (org sayfası).
O03,Case Creator,Action customization,Belgeli,ROS/exam/investigation/intervention/communication.
O04,Case Creator,Diagnosis / disposition setup,Belgeli,Tanı ve disposition özelleştirme.
O05,Case Creator,Scoring rubric,Belgeli,Critical/recommended/neutral/unnecessary/harmful.
O06,Case Creator,Clone existing case,Belgeli,Mevcut case’ten türetme.
P01,System,Offline sync,Belgeli,Offline tamamlanan sonuçların sonraki online açılışta upload’u.
P02,System,Units of measurement,Belgeli,Ölçü birimi ayarı.
P03,System,Privacy / data-sharing consent,Belgeli,Kurumsal enrollment sırasında sonuç paylaşımı onayı.
